Order in Assessment,Changes on items,Changes on dimensions,CODE (prefixed with Q),Reverse score,TriggerQ,English: item/question,English: dimension/subscale,English: domain,Nynorsk: item/question,Nynorsk: dimension/subscale,Nynorsk: domain,Bokmål: item/question,Bokmål: dimension/subscale,Bokmål: domain,,,,,,,,,,,
20,K,KR,110,,,I have nightmares that cause me to wake up in terror,Intrusive Memories,Symptom Expression,Eg har for tida svært skremmande mareritt som vekker meg opp i frykt,Påtrengende minner ,Symptomuttrykk,Jeg har for tiden svært skremmende mareritt som vekker meg opp i frykt,Påtrengende minner,Symptomuttrykk,,,,,,,,,,,
21,R,KR,103.1,,,My body is anxious and tense,Physical Anxiety,Symptom Expression,Eg har ingen augneblink i løpet av dagen utan angst i kroppen,Angst,Symptomuttrykk,Jeg har ingen øyeblikk i løpet av dagen uten angst i kroppen,Angst,Symptomuttrykk,,,,,,,,,,,
22,R,K,4.1,,,"My use of alcohol, drugs or medications interferes with my ability to function (in my job, as a student, as a parent, etc.)",Substance Use,Symptom Expression,Bruken min av alkohol eller narkotika gjer at eg ikkje fungerer så godt som eg kan,Rusvanskar,Symptomuttrykk,Bruken min av alkohol eller narkotika gjør at jeg ikke fungerer så godt som jeg kan,Rusvansker,Symptomuttrykk,,,,,,,,,,,
23,K,N,126,,,I'm ashamed of the person I am,Self-Contempt,Problem maintaining process,Eg skammar meg over den personen eg er,Sjølvforakt,Oppretthaldande faktorar,Jeg skammer meg over den personen jeg er,Selvforakt,Opprettholdende faktorer,,,,,,,,,,,
24,K,KR,75,,,I often feel fear or anxiety without knowing why,Physical Anxiety,Symptom Expression,Eg kjenner ofte at eg er redd/engsteleg utan heilt å vite kvifor,Angst,Symptomuttrykk,Jeg kjenner ofte at jeg er redd/engstelig uten helt å vite hvorfor,Angst,Symptomuttrykk,,,,,,,,,,,
25,R,K,107.1,,,Other people are worried about my drinking or use of drugs/medication,Substance Use,Symptom Expression,Andre menneske er uroa over drikkinga mi/bruken av rusmidlar,Rusvanskar,Symptomuttrykk,Andre mennesker er bekymret for drikkingen min/bruken av rusmidler,Rusvansker,Symptomuttrykk,,,,,,,,,,,
26,N,KR,207,,,I am not accomplishing as much as I usually do,General Functioning,Personal consequences,Eg klarer ikkje å utrette så mykje som eg vanlegvis gjer,Fungering,Konsekvensar for livssituasjonen,Jeg klarer ikke å utrette så mye som jeg vanligvis gjør,Fungering,Konsekvenser for livssituasjonen,,,,,,,,,,,
27,K,K,121,,,"I want to avoid attention, no matter what",Social Avoidance,Problem maintaining process,Eg vil unngå merksemd for einkvar pris,Sosial unnviking,Oppretthaldande faktorar,Jeg vil unngå oppmerksomhet for enhver pris,Sosial unnvikelse,Opprettholdende faktorer,,,,,,,,,,,
28,K,KR,53,,,"I experience shortness of breath, racing heart, or numbness and tingling in my hands or face",Physical Anxiety,Symptom Expression,"Eg opplever å vere kortpusta, ha hjartebank, vere nomen eller ha prikking i hender og ansikt",Angst,Symptomuttrykk,"Jeg opplever å være kortpustet, ha hjertebank, være nummen eller ha prikking i hender og ansikt",Angst,Symptomuttrykk,,,,,,,,,,,
29,N,KR,208,,,I have been overwhelmed by my worries,Worry,Problem maintaining process,Eg har blitt overvelda av bekymringane mine,Bekymring,Oppretthaldande faktorar,Jeg har blitt overveldet av bekymringene mine,Bekymring,Opprettholdende faktorer,,,,,,,,,,,
30,K,NR,151,,,I am impulsive in a way that troubles me,Impulsivity,Problem maintaining process,Eg er impulsiv på ein måte som er uheldig for meg,Impulsivitet,Oppretthaldande faktorar,Jeg er impulsiv på en måte som er uheldig for meg,Impulsivitet,Opprettholdende faktorer,,,,,,,,,,,
31,K,K,78,,,I spend a lot of energy not to think about things that hurt,Internal Avoidance,Problem maintaining process,Eg bruker mykje energi på ikkje å tenkje på ting som er vanskeleg,Indre unnviking,Oppretthaldande faktorar,Jeg bruker mye energi på ikke å tenke på ting som er vanskelig,Indre unnvikelse,Opprettholdende faktorer,,,,,,,,,,,
32,K,K,61,,,I have given up hope for a better future,Hopelessness,Problem maintaining process,Eg har gitt opp håpet om ei betre framtid,Håpløyse,Oppretthaldande faktorar,Jeg har gitt opp håpet om en bedre fremtid,Håpløshet,Opprettholdende faktorer,,,,,,,,,,,
33,K,K,120,,,"I want to be social, but I can't bring myself to do it",Social Avoidance,Problem maintaining process,"Eg vil vere sosial, men eg får det ikkje til",Sosial unnviking,Oppretthaldande faktorar,"Jeg vil være sosial, men får det ikke til",Sosial unnvikelse,Opprettholdende faktorer,,,,,,,,,,,
34,N,N,209,R,,I manage to take care of myself when I need it,Self-Compassion,Resources,Eg klarer å ta vare på meg sjølv når eg treng det,Sjølvmedfølelse,Ressursar,Jeg klarer å ta vare på meg selv når jeg trenger det,Selvmedfølelse,Ressurser,,,,,,,,,,,
35,N,N,210,,,My bodily pain prevents me from doing things that are important for me,Pain,symptom Expression,Smerter i kroppen hindrar meg i å gjere ting som er viktige for meg,Smerte,symptomuttrykk,Smerter i kroppen hindrer meg i å gjøre ting som er viktige for meg,Smerte,Symptomuttrykk,,,,,,,,,,,
36,R,K,35.1,,,"I am concerned that I am dependent on drinking, drugs, or medications",Substance Use,Symptom Expression,Eg er bekymra for om eg er avhengig av alkohol eller narkotika,Rusvanskar,Symptomuttrykk,Jeg er bekymret for om jeg er avhengig av alkohol eller narkotika,Rusvansker,Symptomuttrykk,,,,,,,,,,,
37,K,K,122,,,I shut down my feelings,Internal Avoidance,Problem maintaining process,Eg stengjer av følelsane mine,Indre unnviking,Oppretthaldande faktorar,Jeg stenger av følelsene mine,Indre unnvikelse,Opprettholdende faktorer,,,,,,,,,,,
38,K,KR,43,R,,I find it easy to talk to my friends about how I truly am,Social Support,Resources,Eg synast det er lett å snakke med vener om kven eg verkeleg er,Sosial støtte,Ressursar,Jeg synes det er lett å snakke med venner om hvem jeg virkelig er,Sosial støtte,Ressurser,,,,,,,,,,,
39,K,K,24,,,I constantly feel that everything is just too much for me to handle,Hopelessness,Problem maintaining process,Eg kjenner heile tida at eg er på kanten til ikkje å klare meir,Håpløyse,Oppretthaldande faktorar,Jeg kjenner hele tiden at jeg er på kanten til ikke å klare mer,Håpløshet,Opprettholdende faktorer,,,,,,,,,,,
40,N,N,211,R ,,I try to be kind to myself,Self-Compassion,Resources,Eg prøver å vere snill med meg sjølv,Sjølvmedfølelse,Ressursar,Jeg prøver å være snill med meg selv,Selvmedfølelse,Ressurser,,,,,,,,,,,
41,N,KR,212,R,,I am able to ask for help from family and/or friends,Social Support,Resources,Eg er i stand til å spørre familie og venner om hjelp,Sosial støtte,Ressursar,Jeg er i stand til å spørre familie og venner om hjelp,Sosial støtte,Ressurser,,,,,,,,,,,
42,N,KR,213,,,Tension and anxiety make it very difficult for me to relax,Physical Anxiety,Symptom Expression,Angst og spenning gjer det veldig vanskeleg for meg å slappe av,Angst,Symptomuttrykk,Angst og spenning gjør det veldig vanskelig for meg å slappe av,Angst,Symptomuttrykk,,,,,,,,,,,
43,K,K,118,,,I often cancel appointments and/or plans because of fear,Social Avoidance,Problem maintaining process,Eg avlyser ofte avtalar og planar på grunn av redsel/frykt,Sosial unnviking,Oppretthaldande faktorar,Jeg avlyser ofte avtaler og planer på grunn av redsel/frykt,Sosial unnvikelse,Opprettholdende faktorer,,,,,,,,,,,
44,K,K,143,,,I'm struggling to remember things,Cognitive Problems,Personal consequences,Eg strevar med å hugse ting,Kognisjon,Konsekvensar for livssituasjonen,Jeg strever med å huske ting,Kognisjon,Konsekvenser for livssituasjonen,,,,,,,,,,,
45,K,K,105,,,I have made plans for how I will kill myself,Suicidal thoughts,Symptom Expression,Eg har planlagt korleis eg skal ta livet mitt,Sjølvmordstanker,Symptomuttrykk,Jeg har planlagt hvordan jeg skal ta livet mitt,Selvmordstanker,Symptomuttrykk,,,,,,,,,,,
46,K,K,144.1,,,Things have been slipping my mind a lot,Cognitive Problems,Personal consequences,Eg har streva med å få med meg ting,Kognisjon,Konsekvensar for livssituasjonen,Jeg har strevet med å få med meg ting,Kognisjon,Konsekvenser for livssituasjonen,,,,,,,,,,,
47,N,N,238,,,I have raised my voice at someone and later regretted it,Anger,Symptom Expression,Eg har heva stemma mot andre og angra på det etterpå,Sinne,Symptomuttrykk,Jeg har hevet stemmen mot andre og angret på det etterpå,Sinne,Symptomuttrykk,,,,,,,,,,,
48,K,KR,57,,,My eating restricts my ability to be social,Restrictive Eating,Symptom Expression,Forholdet mitt til mat gjer at eg ikkje kan vere så sosial som eg vil,Spisevanskar,Symptomuttrykk,Forholdet mitt til mat gjør at jeg ikke kan være så sosial som jeg vil,Spisevansker,Symptomuttrykk,,,,,,,,,,,
49,K,K,77,,,I am scared that I might lose control and kill myself,Suicidal thoughts,Symptom Expression,Eg er redd for at eg kan miste kontrollen og ta livet mitt,Sjølvmordstanker,Symptomuttrykk,Jeg er redd for at jeg kan miste kontrollen og ta livet mitt,Selvmordstanker,Symptomuttrykk,,,,,,,,,,,
50,K,K,142.1,,,I have had a hard time maintaining focus,Cognitive Problems,Personal consequences,Eg har hatt vanskar med å halde fokus,Kognisjon,Konsekvensar for livssituasjonen,Jeg har hatt vansker med å holde fokus,Kognisjon,Konsekvenser for livssituasjonen,,,,,,,,,,,
51,N,KR,214,,,I have no control over my worries,Worry,Problem maintaining process,Eg har ikkje kontroll over bekymringane mine,Bekymring,Oppretthaldande faktorar,Jeg har ikke kontroll over bekymringene mine,Bekymring,Opprettholdende faktorer,,,,,,,,,,,
52,K,KR,104,,,I worry way too much about my weight,Restrictive Eating,Symptom Expression,Eg uroar meg altfor mykje over vekta mi,Spisevanskar,Symptomuttrykk,Jeg bekymrer meg altfor mye over vekten min,Spisevansker,Symptomuttrykk,,,,,,,,,,,
53,K,K,123,,,I believe that if I start talking about my feelings they will overwhelm me,Internal Avoidance,Problem maintaining process,"Eg unngår å snakke om ting som er vanskeleg, for ikkje å bli overvelda",Indre unnviking,Oppretthaldande faktorar,"Jeg unngår å snakke om ting som er vanskelig, for ikke å bli overveldet",Indre unnvikelse,Opprettholdende faktorer,,,,,,,,,,,
54,K,N,101,,,I am totally worthless,Self-Contempt,Problem maintaining process,Eg er verdilaus,Sjølvforakt,Oppretthaldande faktorar,Jeg er verdiløs,Selvforakt,Opprettholdende faktorer,,,,,,,,,,,
55,N,N,216,,,I experience a lot of pain in my body,Pain,symptom Expression,Eg kjenner mykje smerter i kroppen min,Smerte,symptomuttrykk,Jeg kjenner mye smerter i kroppen min,Smerte,Symptomuttrykk,,,,,,,,,,,
56,N,KR,217,R,,I get things done,General Functioning,Personal consequences,Eg får gjort ting,Fungering,Konsekvensar for livssituasjonen,Jeg får gjort ting,Fungering,Konsekvenser for livssituasjonen,,,,,,,,,,,
57,K,K,88,,,I feel like I am trapped and don't know what to do,Hopelessness,Problem maintaining process,Det kjennes som eg er fanga i situasjonen min og ikkje veit kva eg skal gjere,Håpløyse,Oppretthaldande faktorar,Det føles som jeg er fanget i situasjonen min og ikke vet hva jeg skal gjøre,Håpløshet,Opprettholdende faktorer,,,,,,,,,,,
58,R,KR,39.1,,,I can't make my worries stop,Worry,Problem maintaining process,"Ofte kjenner eg at eg ikkje kan stoppe å uroe meg, sjølv når eg prøvar",Bekymring,Oppretthaldande faktorar,"Ofte kjenner jeg at jeg ikke kan stoppe å bekymre meg, selv når jeg prøver",Bekymring,Opprettholdende faktorer,,,,,,,,,,,
59,K,N,127,,,I do not belive that anyone can truly love me,Self-Contempt,Problem maintaining process,Eg trur ikkje nokon kan elske meg,Sjølvforakt,Oppretthaldande faktorar,Jeg tror ikke noen kan elske meg,Selvforakt,Opprettholdende faktorer,,,,,,,,,,,
60,N,KR,222,R,,I am able to talk with family/friends about what is going on for me,Social Support,Resources,Eg er i stand til å snakke med venner og familie om korleis eg har det,Sosial støtte,Ressursar,Jeg er i stand til å snakke med venner og familie om hvordan jeg har det,Sosial støtte,Ressurser,,,,,,,,,,,
61,N,N,218,,,I have had angry outbursts,Anger,Symptom Expression,Eg har hatt sinneutbrot,Sinne,Symptomuttrykk,Jeg har hatt sinneutbrudd,Sinne,Symptomuttrykk,,,,,,,,,,,
62,K,K,102,,,I feel that nothing matters,Sad Affect,Symptom Expression,Eg klarar ikkje å kjenne at noko har meining,Nedfor,Symptomuttrykk,Jeg klarer ikke å kjenne at noe har mening,Nedfor,Symptomuttrykk,,,,,,,,,,,
63,N,N,219,,,It takes a lot of effort to cope with my pain,Pain,symptom Expression,Det krevast mykje innsats for å leve med smertene mine,Smerte,symptomuttrykk,Det kreves mye innsats for å leve med smertene mine,Smerte,Symptomuttrykk,,,,,,,,,,,
64,N,N,223,R,,I can manage my problematic cravings or impulses,Impulsivity,Problem maintaining process,Eg kan mestre vanskelege lyster eller impulsar,Impulsivitet,Oppretthaldande faktorar,Jeg kan mestre vanskelige lyster eller impulser,Impulsivitet,Opprettholdende faktorer,,,,,,,,,,,
65,K,K,42,,,I am feeling depressed,Sad Affect,Symptom Expression,Eg kjenner meg deprimert,Nedfor,Symptomuttrykk,Jeg føler meg deprimert,Nedfor,Symptomuttrykk,,,,,,,,,,,
66,K,KR,18,,,I spend far too much time and energy reading about food and planning my meals,Restrictive Eating,Symptom Expression,Eg bruker altfor mykje tid på å lese om mat eller planlegge måltida,Spisevanskar,Symptomuttrykk,Jeg bruker altfor mye tid på å lese om mat eller planlegge måltidene,Spisevansker,Symptomuttrykk,,,,,,,,,,,
67,N,N,215,,,"When I make a mistake, I am hard on myself",Self-Compassion,Resources,Når eg har gjort ein feil er eg veldig streng med meg sjølv,Sjølvmedfølelse,Ressursar,Når jeg har gjort en feil er jeg veldig streng med meg selv,Selvmedfølelse,Ressurser,,,,,,,,,,,
68,K,K,147,,,I have a hard time thinking clearly,Cognitive Problems,Personal consequences,Eg klarer ikkje å tenkje klart,Kognisjon,Konsekvensar for livssituasjonen,Jeg klarer ikke å tenke klart,Kognisjon,Konsekvenser for livssituasjonen,,,,,,,,,,,
69,K,K,106,,,I have decided to kill myself,Suicidal thoughts,Symptom Expression,Eg har bestemt meg for å ta livet mitt,Sjølvmordstanker,Symptomuttrykk,Jeg har bestemt meg for å ta livet mitt,Selvmordstanker,Symptomuttrykk,,,,,,,,,,,
70,N,KNR,232,R,,I’m willing to work hard to make the changes I need to ,Readiness for Change,Resources,Eg er villeg til å jobbe hardt for å få til dei endringane som er viktige for meg,Endringsressursar,Ressursar,Jeg er villig til å jobbe hardt for å få til de endringene som er viktige for meg,Endringsressurser,Ressurser,,,,,,,,,,,
71,K,KR,46,,,I am afraid I will lose control when it comes to food,Restrictive Eating,Symptom Expression,Eg er redd for å miste kontrollen når det kjem til mat,Spisevanskar,Symptomuttrykk,Jeg er redd for å miste kontrollen når det gjelder mat,Spisevansker,Symptomuttrykk,,,,,,,,,,,
72,N,KR,221,R,,I accept help when it's offered by people around me,Social Support,Resources,Eg kan ta i mot hjelp viss nokon tilbyr det,Sosial støtte,Ressursar,Jeg kan imot hjelp dersom noen tilbyr det,Sosial støtte,Ressurser,,,,,,,,,,,
73,K,KR,112.1,,,I adjust my life to control my terrifying memories,Intrusive Memories,Symptom Expression,Eg innrettar livet mitt for å ha kontroll på skremmande minner,Påtrengende minner ,Symptomuttrykk,Jeg innretter livet mitt for å ha kontroll på skremmende minner,Påtrengende minner,Symptomuttrykk,,,,,,,,,,,
74,N,N,224,,,I have lost control of my urges or impulses,Impulsivity,Problem maintaining process,Eg har mista kontrollen over lyster eller impulsar,Impulsivitet,Oppretthaldande faktorar,Jeg har mistet kontrollen over lyster eller impulser,Impulsivitet,Opprettholdende faktorer,,,,,,,,,,,
75,N,KNR,231,R,,I want to make changes that are important to me,Readiness for Change,Resources,Eg ønskjer å gjere endringar som er viktige for meg,Endringsressursar,Ressursar,Jeg ønsker å gjøre endringer som er viktige for meg,Endringsressurser,Ressurser,,,,,,,,,,,
76,N,KR,220,R,,I feel good about how I fill my day,General Functioning,Personal consequences,Eg er fornøgd med korleis eg fyller dagane,Fungering,Konsekvensar for livssituasjonen,Jeg er fornøyd med hvordan jeg fyller dagene,Fungering,Konsekvenser for livssituasjonen,,,,,,,,,,,
77,N,N,206,,,"I have felt so angry I hit, threw, or broke something",Anger,Symptom Expression,"Eg har følt meg så sint at eg har slått, kasta eller øydelagt ting",Sinne,Symptomuttrykk,"Jeg har følt meg så sint at jeg har slått, kasta eller ødelagt ting",Sinne,Symptomuttrykk,,,,,,,,,,,
78,N,KNR,234,R,,I’m prioritizing making the changes I need to,Readiness for Change,Resources,Eg prioriterer å gjere dei endringane som eg treng å gjere,Endringsressursar,Ressursar,Jeg prioriterer å gjøre de endringene som jeg trenger å gjøre,Endringsressurser,Ressurser,,,,,,,,,,,
79,K,K,150,,,My sexuality and/or sex life is difficult for me,Sexuality,Single items,Seksualitet og/eller seksualliv er vanskeleg for meg,Seksualitet,Enkeltståande utsegn,Seksualitet og/eller seksualliv er vanskelig for meg,Seksualitet,Enkeltstående utsagn,,,,,,,,,,,
80,N,N,225,,,I have intentionally caused myself physical pain,Self-harm,Single items,Eg har påført meg sjølv smerte med vilje,Selvskading,Enkeltståande utsegn,Jeg har påført meg selv smerte med vilje,Selvskading,Enkeltstående utsagn,,,,,,,,,,,
81,K,K,149,,,I am sleeping very badly at the moment,Sleep,Single items,Eg søv veldig dårleg for tida,Søvn,Enkeltståande utsegn,Jeg sover veldig dårlig for tiden,Søvn,Enkeltstående utsagn,,,,,,,,,,,
82,K,K,84,R,,I take care of my physical health,Physical health,Single items,Eg tek vare på den fysiske helsa mi,Fysisk helse,Enkeltståande utsegn,Jeg tar vare på den fysiske helsen min,Fysisk helse,Enkeltstående utsagn,,,,,,,,,,,
83,N,N,226,,,"All in all, how satisfied are you with your life currently?",Quality of Life,,"Alt i alt, kor fornøgd er du med livet ditt no?",Livskvalitet,,"Alt i alt, hvor fornøyd er du med livet ditt nå?",Livskvalitet,,,,,,,,,,,,
84,N,N,227,R,,I have enough money for my needs,Finances,Social Determinants Items,Eg har nok pengar til å dekke behova mine,Økonomi,Sosiale forhold,Jeg har nok penger til å dekke behovene mine,Økonomi,Sosiale forhold,,,,,,,,,,,
85,N,N,228,,,My physical health causes me problems in day-to-day activities,Health,Social Determinants Items,Den kroppslege helsa mi skaper problem for daglegdagse aktivitetar,Helse,Sosiale forhold,Den kroppslige helsen min skaper problem for dagligdagse aktiviteter,Helse,Sosiale forhold,,,,,,,,,,,
86,N,N,229,R,,My home is safe for me,Safety,Social Determinants Items,Heimen min er trygg for meg,Busituasjon,Sosiale forhold,Hjemmet mitt er trygt for meg,Bosituasjon,Sosiale forhold,,,,,,,,,,,
87,N,N,230,R,,I feel welcome in my neighborhood and community,Community,Social Determinants Items,Eg føler meg velkommen i nabolaget og lokalsamfunnet,Lokalsamfunn,Sosiale forhold,Jeg føler meg velkommen i nabolaget og lokalsamfunnet,Lokalsamfunn,Sosiale forhold,,,,,,,,,,,
88,N,KR,235,,,My therapist and I seem to agree on the goals of my treatment,Alliance (Goal),,Behandlaren min og eg synest å forstå måla med behandlinga likt,Allianse(mål),,Behandleren min og jeg synes å forstå målene for behandlingen likt,Allianse(mål),,,,,,,,,,,,
89,N,KR,236,,,I like my therapist as a person and I think that my therapist likes me,Alliance (Bond),,Eg likar behandlaren min som person og eg trur behandlaren likar meg,Allianse(band),,Jeg liker behandleren min som person og jeg tror at behandleren min liker meg,Allianse(bånd),,,,,,,,,,,,
90,N,KR,237,,,My therapist and I agree on what is needed for me to get better,Alliance (Task),,Behandlaren min og eg ser likt på kva som trengs for at eg skal få det betre,Allianse(oppgåve),,Behandleren min og jeg ser likt på hva som trengs for at jeg skal få det bedre,Allianse(oppgave),,,,,,,,,,,,
91,K,K,83,,,I have worries about things related to the medication I take that I should discuss with someone,Medication,Single items,Eg har bekymringar for ting knytt til medisinen eg tek som eg bør drøfte med nokon,Medikamentelle problemstillingar,Enkeltståande utsegn,Jeg har bekymringer for ting knyttet til medisinen jeg tar som jeg bør diskutere med noen,Medikamentelle problemstillinger,,,,,,,,,,,,
92,KNR,KNR,148.2,R,,"Overall, these questions were relevant to how I am doing right now (fjerne: i løpet av siste uke)",Norse,Single items,Fleire av desse spørsmåla kjennest relevante for å skildre korleis eg har det no (fjerne: i løpet av siste uke),Norse,Enkeltståande utsegn,Flere av disse spørsmålene kjennes relevante for å beskrive hvordan jeg har det nå (fjerne: i løpet av siste uke),Norse,Enkeltstående utsagn,,,,,,,,,,,
93,K,K,152,,,I would like my therapist to focus less/more on my feelings,Therapy Preferences,,Eg kunne trenge at behandlaren min jobba mindre/meir med kjenslene mine,Therapy Preferences,,Jeg kunne trenge at behandleren min jobbet mindre/mer med følelsene mine,Preferanser,,,,,,,,,,,,
94,K,K,153,,,I would like my therapist to focus less/more on my thoughts,Therapy Preferences,,Eg kunne trenge at behandlaren min jobba mindre /meir med tankane mine,Therapy Preferences,,Jeg kunne trenge at behandleren min jobbet mindre/mer med tankene mine,Preferanser,,,,,,,,,,,,
95,K,K,74,,,I would like my therapist to focus less/more on the relationship between us,Therapy Preferences,,Eg kunne trenge at behandlaren fokuserte mindre/meir på forholdet mellom oss,Therapy Preferences,,Jeg kunne trenge at behandleren fokuserte mindre/mer på forholdet mellom oss,Preferanser,,,,,,,,,,,,
96,K,K,71,,,I would like my therapist to use less/more techniques and exersises,Therapy Preferences,,Eg kunne trenge at behandlaren min brukte færre/meir teknikkar og øvingar,Therapy Preferences,,Jeg kunne trenge at behandleren min brukte mindre/mer teknikker og øvelser,Preferanser,,,,,,,,,,,,
